城市,景點,分類,評價,緯度,經度,景點說明
京都,京都車站,景點,4.5,34.9858,135.7587,京都交通樞紐，建築雄偉
京都,京都塔,景點,4.2,34.9875,135.7593,京都地標，可俯瞰市容
京都,東本願寺,景點,4.6,34.9916,135.7581,世界最大級木造建築
京都,西本願寺,景點,4.6,34.9915,135.7516,世界遺產，巨大銀杏樹
京都,東寺,景點,4.6,34.9811,135.7476,日本最高五重塔
京都,清水寺,景點,4.8,34.9948,135.7850,世界遺產，清水大舞台
京都,二三年坂,景點,4.6,34.9970,135.7818,京都最美古街坡道
京都,八坂神社,景點,4.5,35.0036,135.7785,祇園中心，消災解厄
京都,花見小路,景點,4.3,35.0024,135.7745,藝伎出沒的歷史街道
京都,建仁寺,景點,4.6,35.0011,135.7738,京都最古老禪寺，雙龍圖
京都,高台寺,景點,4.5,34.9996,135.7806,寧寧之寺，夜間點燈極美
京都,安井金比羅宮,景點,4.4,34.9998,135.7758,斷惡緣、結良緣的神社
京都,知恩院,景點,4.6,35.0055,135.7830,巨大的三門與除夕鐘聲
京都,青蓮院,景點,4.6,35.0070,135.7833,絕美青苔庭園與夜間點燈
京都,錦市場,美食,4.1,35.0050,135.7661,京都的廚房，平民美食
京都,先斗町,美食,4.3,35.0040,135.7712,鴨川旁極具風情的餐飲街
京都,鴨川公園,景點,4.7,35.0032,135.7721,納涼床與散步好去處
京都,本能寺,景點,4.3,35.0104,135.7681,織田信長長眠之地
京都,佛光寺,景點,4.4,35.0003,135.7621,市區內安靜的古寺
京都,渡月橋,景點,4.4,35.0129,135.6776,嵐山標誌，四季景色優美
京都,嵐山竹林小徑,景點,4.6,35.0158,135.6720,嵯峨野幽靜竹林步道
京都,天龍寺,景點,4.5,35.0157,135.6745,曹源池庭園，世界遺產
京都,常寂光寺,景點,4.6,35.0202,135.6695,京都屈指可數的紅葉名所
京都,野宮神社,景點,4.3,35.0175,135.6740,祈求學業與良緣，黑鳥居
京都,嵐電足湯,美食,4.1,35.0116,135.6777,嵐山車站內的溫泉足湯
京都,金閣寺,景點,4.6,35.0393,135.7292,金箔舍利殿，京都必訪
京都,龍安寺,景點,4.6,35.0345,135.7182,枯山水石庭的巔峰之作
京都,仁和寺,景點,4.5,35.0270,135.7138,晚開的御室櫻聞名
京都,北野天滿宮,景點,4.6,35.0305,135.7351,學問之神，梅花名所
京都,銀閣寺,景點,4.5,35.0268,135.7982,枯山水與向月台，東山文化
京都,哲學之道,景點,4.5,35.0238,135.7967,沿著小溪的櫻花散步道
京都,南禪寺,景點,4.6,35.0112,135.7941,巨大的三門與歐式水路閣
京都,永觀堂,景點,4.7,35.0144,135.7956,紅葉永觀堂，絕美秋景
京都,平安神宮,景點,4.4,35.0160,135.7824,巨大紅色鳥居與神苑
京都,伏見稻荷大社,景點,4.7,34.9671,135.7726,千本鳥居，狐狸使者
京都,平等院,景點,4.6,34.8893,135.8076,鳳凰堂，10元硬幣圖案
京都,中村藤吉本店,美食,4.4,34.8915,135.8066,宇治抹茶甜點首選
京都,下鴨神社,景點,4.6,35.0392,135.7730,糺之森，京都最古老神社
京都,上賀茂神社,景點,4.6,35.0595,135.7533,雷神坐鎮，世界遺產
京都,三千院,景點,4.6,35.1220,135.8340,大原山中，可愛的小地藏
京都,貴船神社,景點,4.7,35.1216,135.7629,水占卜與點燈階梯，靈氣十足
